Naam;Weging;Industrie;Land
SHAW COMMUNICATIONS INC CLASS B;0,02;Communicatie;Canada
DANSKE BANK;0,02;Financiële waarden;Denemarken
CRODA INTERNATIONAL PLC;0,02;Materialen;Verenigd Koninkrijk
MASIMO CORP;0,02;Gezondheidszorg;Verenigde Staten
MEDICAL PROPERTIES TRUST REIT INC;0,02;Vastgoed;Verenigde Staten
SAGE GROUP PLC;0,02;IT;Verenigd Koninkrijk
EMS-CHEMIE HOLDING AG;0,02;Materialen;Zwitserland
TEMENOS AG;0,02;IT;Zwitserland
GUIDEWIRE SOFTWARE INC;0,02;IT;Verenigde Staten
NRG ENERGY INC;0,02;Nutsbedrijven;Verenigde Staten
ALLEGION PLC;0,02;Industrie;Verenigde Staten
RENAISSANCERE HOLDING LTD;0,02;Financiële waarden;Verenigde Staten
JARDINE MATHESON HOLDINGS LTD;0,02;Industrie;Hong Kong
ASSOCIATED BRITISH FOODS PLC;0,02;Basis-consumentengoederen;Verenigd Koninkrijk
HEIDELBERGCEMENT AG;0,02;Materialen;Duitsland
YARA INTERNATIONAL;0,02;Materialen;Noorwegen
SIRIUS XM HOLDINGS INC;0,02;Communicatie;Verenigde Staten
KIKKOMAN CORP;0,02;Basis-consumentengoederen;Japan
CHOCOLADEFABRIKEN LINDT & SPRUENGL;0,02;Basis-consumentengoederen;Zwitserland
GROUPE BRUXELLES LAMBERT NV;0,02;Financiële waarden;België
ALTICE USA INC CLASS A;0,02;Communicatie;Verenigde Staten
KYOWA KIRIN LTD;0,02;Gezondheidszorg;Japan
UMICORE SA;0,02;Materialen;België
CAIXABANK SA;0,02;Financiële waarden;Spanje
MISUMI GROUP INC;0,02;Industrie;Japan
KONINKLIJKE KPN NV;0,02;Communicatie;Nederland
ALSTOM SA;0,02;Industrie;Frankrijk
BORGWARNER INC;0,02;Luxe-consumentengoederen;Verenigde Staten
MAKITA CORP;0,02;Industrie;Japan
CABOT OIL & GAS CORP;0,02;Energie;Verenigde Staten
BEIGENE ADR REPRESENTING LTD;0,02;Gezondheidszorg;Hong Kong
WYNN RESORTS LTD;0,02;Luxe-consumentengoederen;Verenigde Staten
LINCOLN NATIONAL CORP;0,02;Financiële waarden;Verenigde Staten
FAIRFAX FINANCIAL HOLDINGS SUB VOT;0,02;Financiële waarden;Canada
LEAR CORP;0,02;Luxe-consumentengoederen;Verenigde Staten
HASBRO INC;0,02;Luxe-consumentengoederen;Verenigde Staten
JSR CORP;0,02;Materialen;Japan
MEDIOBANCA BANCA DI CREDITO FINANZ;0,02;Financiële waarden;Italië
NISSAN MOTOR LTD;0,02;Luxe-consumentengoederen;Japan
PORSCHE AUTOMOBIL HOLDING PREF;0,02;Luxe-consumentengoederen;Duitsland
LIVE NATION ENTERTAINMENT INC;0,02;Communicatie;Verenigde Staten
ARCELORMITTAL SA;0,02;Materialen;Frankrijk
ORIGIN ENERGY LTD;0,02;Energie;Australië
CNH INDUSTRIAL NV;0,02;Industrie;Italië
UNITED INTERNET AG;0,02;Communicatie;Duitsland
CANADIAN TIRE LTD CLASS A;0,02;Luxe-consumentengoederen;Canada
JUNIPER NETWORKS INC;0,02;IT;Verenigde Staten
GETLINK;0,02;Industrie;Frankrijk
DCC PLC;0,02;Industrie;Verenigd Koninkrijk
APOLLO GLOBAL MANAGEMENT INC CLASS;0,02;Financiële waarden;Verenigde Staten
F5 NETWORKS INC;0,02;IT;Verenigde Staten
DATADOG INC CLASS A;0,02;IT;Verenigde Staten
TOYOTA INDUSTRIES CORP;0,02;Luxe-consumentengoederen;Japan
ALLEGHANY CORP;0,02;Financiële waarden;Verenigde Staten
KINNEVIK CLASS B;0,02;Financiële waarden;Zweden
NIPPON BUILDING FUND REIT INC;0,02;Vastgoed;Japan
PINNACLE WEST CORP;0,02;Nutsbedrijven;Verenigde Staten
KINTETSU GROUP HOLDINGS LTD;0,02;Industrie;Japan
SOUTH32 LTD;0,02;Materialen;Australië
ATLANTIA;0,02;Industrie;Italië
GN STORE NORD;0,02;Gezondheidszorg;Denemarken
SUMITOMO ELECTRIC INDUSTRIES LTD;0,02;Luxe-consumentengoederen;Japan
HAMAMATSU PHOTONICS;0,02;IT;Japan
COMERICA INC;0,02;Financiële waarden;Verenigde Staten
RAKUTEN INC;0,02;Luxe-consumentengoederen;Japan
LIBERTY MEDIA FORMULA ONE CORP SER;0,02;Communicatie;Verenigde Staten
SUNCORP GROUP LTD;0,02;Financiële waarden;Australië
CENOVUS ENERGY INC;0,02;Energie;Canada
NEW WORLD DEVELOPMENT LTD;0,02;Vastgoed;Hong Kong
ARKEMA SA;0,02;Materialen;Frankrijk
MEIJI HOLDINGS LTD;0,02;Basis-consumentengoederen;Japan
MELROSE INDUSTRIES PLC;0,02;Industrie;Verenigd Koninkrijk
CAMDEN PROPERTY TRUST REIT;0,02;Vastgoed;Verenigde Staten
BANK LEUMI LE ISRAEL;0,02;Financiële waarden;Israël
THALES SA;0,02;Industrie;Frankrijk
A P MOLLER MAERSK B;0,02;Industrie;Denemarken
INSURANCE AUSTRALIA GROUP LTD;0,02;Financiële waarden;Australië
NIHON M&A CENTER INC;0,02;Industrie;Japan
TOTO LTD;0,02;Industrie;Japan
A O SMITH CORP;0,02;Industrie;Verenigde Staten
YAMAHA CORP;0,02;Luxe-consumentengoederen;Japan
