FIRST HORIZON NATIONAL;0.054525%
TRITAX BIG BOX REIT;0.054518%
ARENA PHARMACEUTICALS;0.054257%
AGREE REALTY CORP;0.054152%
ANIXTER INTERNATIONAL;0.054121%
SOJITZ CORP;0.054090%
BLACKBAUD;0.054073%
ROTORK;0.053972%
AEROJET ROCKETDYNE HLDGS;0.053870%
SYNOVUS FINANCIAL CORP;0.053721%
ROHTO PHARMACEUTICAL CO;0.053712%
SLM CORP (NEW);0.053692%
SAIA;0.053680%
FIREEYE;0.053632%
SABRA HEALTH CARE REIT;0.053581%
WYNDHAM DESTINATIONS;0.053547%
FIRSTCASH;0.053478%
BOX A;0.053463%
ORMAT TECHNOLOGIES;0.053264%
NATERA;0.053180%
TIMKEN;0.052979%
DIALOG SEMICONDUCTOR;0.052953%
CORPORATE OFFICE PPTYS;0.052950%
IRIDIUM COMMUNICATIONS;0.052838%
WHITE MOUNTAINS INS;0.052780%
PARSLEY ENERGY A;0.052765%
CHANGE HEALTHCARE;0.052752%
SIGNIFY;0.052499%
SUNRISE COMMUNICATIONS;0.052423%
VERTIV HOLDINGS A;0.052412%
OMNICELL;0.052406%
ASOS;0.052378%
VIAVI SOLUTIONS;0.052328%
BANK OZK;0.052173%
AALBERTS;0.052139%
UBI BANCA;0.052016%
SWECO B;0.052010%
GENUS;0.051971%
FOX FACTORY HOLDING CORP;0.051955%
MATSUMOTOKIYOSHI HLDGS;0.051951%
VITASOY INTL HOLDINGS;0.051922%
CONTACT ENERGY;0.051716%
CIMAREX ENERGY CO;0.051680%
HMS HOLDINGS CORP;0.051602%
UFP INDUSTRIES;0.051582%
TRAINLINE;0.051524%
LITHIA MOTORS A;0.051461%
ALLREAL HOLDING;0.051313%
MEGGITT;0.051226%
BE SEMICONDUCTOR IND;0.051092%
ENERGIZER (NEW);0.051043%
BORAL;0.050934%
BOLSAS Y MERCADOS ESPANO;0.050928%
ENERSYS;0.050917%
CENTRICA;0.050914%
MIRATI THERAPEUTICS;0.050868%
AVNET;0.050829%
UNIFIRST CORP;0.050799%
ALLOGENE THERAPEUTICS;0.050744%
FLUGHAFEN ZUERICH;0.050670%
PTC THERAPEUTICS;0.050628%
ANRITSU CORP;0.050575%
KB HOME;0.050238%
MAN GROUP;0.050222%
NOVAVAX;0.050207%
TFI INTERNATIONAL;0.050149%
EHEALTH;0.050013%
PS BUSINESS PARKS;0.049912%
LOUISIANA-PACIFIC CORP;0.049821%
INDUSTRIAL & INFRA;0.049769%
NET ONE SYSTEMS CO;0.049707%
MERITAGE HOMES CORP;0.049701%
EPR PROPERTIES;0.049604%
PROSIEBEN SAT1 MEDIA;0.049545%
CRANE CO;0.049484%
GERRESHEIMER;0.049480%
HOULIHAN LOKEY A;0.049477%
ITALGAS;0.049372%
JOHN BEAN TECHNOLOGIES;0.049337%
FEVERTREE DRINKS;0.049336%
UNIVAR SOLUTIONS;0.049305%
NIHON KOHDEN CORP;0.049170%
TIETOEVRY;0.049130%
SNC-LAVALIN GROUP;0.049099%
COLFAX CORP;0.048976%
ALPS ALPINE CO;0.048948%
EAGLE MATERIALS A;0.048947%
TOURMALINE OIL CORP;0.048781%
FIBROGEN;0.048743%
CRISPR THERAPEUTICS;0.048581%
MSG SPORTS A;0.048576%
AEDIFICA;0.048572%
LIFCO B;0.048565%
NEXTDC;0.048557%
CLEANAWAY WASTE MGMT;0.048543%
EL PASO ELECTRIC CO;0.048503%
LIVANOVA;0.048463%
ISS;0.048426%
ALKERMES;0.048404%
DOMETIC GROUP;0.048394%
NIPPON ACCOMMODATIONS;0.048389%
HAIN CELESTIAL GROUP;0.048385%
WEBSTER FINANCIAL CORP;0.048381%
MILLICOM INTL CELL SDR;0.048332%
VARONIS SYSTEMS;0.048298%
CTS EVENTIM;0.048282%
REDFIN;0.048272%
AVISTA CORP;0.048252%
INMOBILIARIA COLONIAL;0.048172%
VISCOFAN;0.048113%
CANNAE;0.048016%
SOUTH JERSEY INDUSTRIES;0.047987%
TAUBMAN CENTERS;0.047987%
WD-40 CO;0.047967%
IDORSIA;0.047875%
DIPLOMA;0.047744%
MEDPACE HOLDINGS;0.047734%
INTEGER HOLDINGS CORP;0.047698%
UMPQUA HOLDINGS CORP;0.047694%
INCITEC PIVOT LTD;0.047662%
MIMECAST;0.047536%
BANK HAWAII CORP;0.047529%
SILGAN HOLDINGS;0.047472%
SALMAR;0.047454%
CARSALES.COM.AU;0.047452%
REXEL;0.047403%
ADEVINTA;0.047402%
CVB FINANCIAL CORP;0.047140%
SANDERSON FARMS;0.047006%
ADVANCED ENERGY IND;0.046947%
DOMINO'S PIZZA ENT;0.046939%
NEOGENOMICS;0.046931%
BRADY CORP A;0.046733%
NATL HEALTH INVESTORS;0.046640%
ACACIA COMMUNICATIONS;0.046622%
SEKISUI HOUSE REIT;0.046538%
INCHCAPE PLC;0.046460%
ALUMINA;0.046419%
SSR MINING;0.046393%
RELO GROUP;0.046333%
IWG;0.046284%
MICROPORT SCI (HK);0.046194%
ITRON;0.046192%
PARK HOTELS & RESORTS;0.046172%
SIGNATURE AVIATION;0.046160%
TAYLOR MORRISON HOME;0.046133%
BUILDERS FIRSTSOURCE;0.046058%
STERLING BANCORP (NEW);0.046053%
SHENANDOAH TELECOMMUN CO;0.046038%
NETWORK INTERNATIONAL;0.045996%
SPIRIT AEROSYSTEMS A;0.045967%
AARON'S INC;0.045961%
MASTEC;0.045903%
NCR CORP;0.045888%
CHEMOCENTRYX;0.045866%
INSMED;0.045857%
ELEMENT SOLUTIONS;0.045808%
WPX ENERGY;0.045736%
GRAND CITY PROPERTIES;0.045700%
NANKAI ELECTRIC RAILWAY;0.045669%
ASSURED GUARANTY;0.045606%
VALMONT INDUSTRIES;0.045573%
LEXINGTON REALTY TRUST;0.045429%
LCI INDUSTRIES;0.045420%
WINTRUST FINANCIAL CORP;0.045395%
FNB CORP;0.045385%
CRACKER BARREL;0.045186%
ILUKA RESOURCES;0.045119%
FABRINET;0.045008%
NETCOMPANY GROUP;0.044929%
BRITVIC;0.044905%
TRINET GROUP;0.044902%
TEGNA;0.044891%
TP ICAP;0.044857%
MARKS & SPENCER GROUP;0.044850%
TOKYO TATEMONO CO;0.044814%
UMB FINANCIAL CORP;0.044813%
GROCERY OUTLET HOLDING;0.044813%
GRAINGER;0.044757%
CANCOM;0.044746%
HAYS;0.044737%
STOREBRAND;0.044735%
CENTAMIN;0.044652%
PREMIER A;0.044585%
TERADATA;0.044556%
BILLERUDKORSNAS;0.044459%
SPARK INFRASTRUCTURE GRP;0.044443%
ROCKWOOL INTERNATIONAL B;0.044432%
SPS COMMERCE;0.044426%
APPFOLIO A;0.044112%
ADVANCED DISPOSAL SVCS;0.044094%
INDEPENDENT BANK (MA);0.044094%
CRANSWICK;0.044060%
ELDORADO RESORTS;0.044008%
CAPRI HOLDINGS;0.043974%
K'S HOLDINGS CORP;0.043938%
CASELLA WASTE SYSTEMS A;0.043919%
ADDTECH B;0.043912%
ALTEN;0.043897%
NOF CORP;0.043828%
YETI HOLDINGS;0.043817%
THULE GROUP;0.043772%
ASSURA;0.043733%
KEPPEL DC REIT;0.043673%
ELIS;0.043670%
ENTRA;0.043627%
POLYONE CORP;0.043562%
BAWAG GROUP;0.043515%
RAPID7;0.043493%
POTLATCHDELTIC CORP;0.043398%
MGE ENERGY;0.043321%
BOTTOMLINE TECHNOLOGIES;0.043317%
AXFOOD;0.043265%
HOME BANCSHARES;0.043158%
PRIMARY HEALTH PROP;0.043100%
ALSTRIA OFFICE REIT;0.043018%
ADVANCED DRAINAGE SYSTEM;0.042996%
LIVEPERSON;0.042958%
2U;0.042954%
BANCORPSOUTH;0.042853%
GREGGS;0.042836%
KENNAMETAL;0.042833%
UDG HEALTHCARE;0.042792%
