ARENA PHARMACEUTICALS;0.066118%
AGREE REALTY CORP;0.065990%
ANIXTER INTERNATIONAL;0.065953%
BLACKBAUD;0.065895%
ROTORK;0.065770%
SYNOVUS FINANCIAL CORP;0.065465%
ROHTO PHARMACEUTICAL CO;0.065454%
SLM CORP (NEW);0.065429%
SAIA;0.065415%
FIREEYE;0.065357%
SABRA HEALTH CARE REIT;0.065294%
WYNDHAM DESTINATIONS;0.065253%
FIRSTCASH;0.065169%
BOX A;0.065151%
ORMAT TECHNOLOGIES;0.064909%
NATERA;0.064806%
TIMKEN;0.064561%
DIALOG SEMICONDUCTOR;0.064530%
CORPORATE OFFICE PPTYS;0.064525%
IRIDIUM COMMUNICATIONS;0.064389%
WHITE MOUNTAINS INS;0.064318%
CHANGE HEALTHCARE;0.064284%
SIGNIFY;0.063976%
SUNRISE COMMUNICATIONS;0.063884%
OMNICELL;0.063863%
ASOS;0.063828%
VIAVI SOLUTIONS;0.063767%
BANK OZK;0.063579%
AALBERTS;0.063538%
UBI BANCA;0.063387%
SWECO B;0.063380%
GENUS;0.063333%
FOX FACTORY HOLDING CORP;0.063313%
MATSUMOTOKIYOSHI HLDGS;0.063308%
VITASOY INTL HOLDINGS;0.063273%
CONTACT ENERGY;0.063022%
HMS HOLDINGS CORP;0.062883%
UFP INDUSTRIES;0.062858%
TRAINLINE;0.062788%
ALLREAL HOLDING;0.062531%
BE SEMICONDUCTOR IND;0.062261%
ENERGIZER (NEW);0.062201%
BORAL;0.062068%
BOLSAS Y MERCADOS ESPANO;0.062062%
ENERSYS;0.062048%
MIRATI THERAPEUTICS;0.061988%
AVNET;0.061941%
UNIFIRST CORP;0.061904%
ALLOGENE THERAPEUTICS;0.061837%
FLUGHAFEN ZUERICH;0.061747%
PTC THERAPEUTICS;0.061696%
ANRITSU CORP;0.061631%
KB HOME;0.061220%
MAN GROUP;0.061201%
NOVAVAX;0.061183%
TFI INTERNATIONAL;0.061113%
EHEALTH;0.060946%
PS BUSINESS PARKS;0.060824%
LOUISIANA-PACIFIC CORP;0.060712%
INDUSTRIAL & INFRA;0.060649%
NET ONE SYSTEMS CO;0.060573%
MERITAGE HOMES CORP;0.060567%
EPR PROPERTIES;0.060448%
PROSIEBEN SAT1 MEDIA;0.060376%
CRANE CO;0.060302%
GERRESHEIMER;0.060297%
ITALGAS;0.060166%
JOHN BEAN TECHNOLOGIES;0.060122%
