Naam	Weging
SCHRODINGER	0,02%
LEVI STRAUSS A	0,02%
VERALLIA	0,02%
HOSHINO RESORTS REIT	0,02%
COSMO ENERGY HOLDINGS CO	0,02%
ANGI HOMESERVICES A	0,02%
SEABOARD CORP	0,02%
1LIFE HEALTHCARE	0,02%
CREATE SD HOLDINGS CO	0,02%
TFS FINANCIAL	0,02%
GREIF A	0,02%
YAMATO KOGYO CO	0,02%
KANDENKO CO	0,02%
BIOGAIA B	0,02%
AUDIOCODES	0,02%
SHIKUN & BINUI	0,02%
ICHIGO OFFICE REIT INV	0,02%
JINS HOLDINGS	0,02%
EN-JAPAN	0,02%
KYORIN HOLDINGS	0,02%
KERRY LOGISTICS NETWORK	0,02%
ELECTROLUX PROFESSIONA B	0,02%
TAIYO HOLDINGS CO	0,02%
GOOSEHEAD INSURANCE A	0,02%
HEIWA REAL ESTATE REIT	0,02%
DIVERSIFIED GAS & OIL	0,01%
FOMENTO CONST Y CONTR	0,01%
SUPER RETAIL GROUP	0,01%
BELLRING BRANDS A	0,01%
CRESCENT POINT ENERGY	0,01%
OKINAWA ELECTRIC POWER	0,01%
BRICKWORKS	0,01%
INTER PARFUMS	0,01%
AUSTAL	0,01%
VERMILION ENERGY	0,01%
AKER A	0,01%
KOMERI CO	0,01%
TTEC HOLDINGS	0,01%
ADBRI	0,01%
BMO COMM PPTY TRUST	0,01%
KOSMOS ENERGY	0,01%
MELISRON	0,01%
TADANO	0,01%
ANTERO RESOURCES	0,01%
CAREL INDUSTRIES	0,01%
HOGY MEDICAL CO	0,01%
LAGARDERE	0,01%
LIBERTY BRAVES C	0,01%
HORNBACH HOLDING	0,01%
PLATINUM ASSET MGMT	0,01%
SHENG SIONG GROUP	0,01%
SMITH & WESSON BRANDS	0,01%
CELESTICA SV	0,01%
RAKUS	0,01%
AUTOGRILL	0,01%
WARRIOR MET COAL	0,01%
PING IDENTITY HOLDING	0,01%
DERMAPHARM HOLDING	0,01%
PATTERSON-UTI ENERGY	0,01%
ICHIBANYA CO	0,01%
ACM RESEARCH A	0,01%
OMEROS CORP	0,01%
SHUTTERSTOCK	0,01%
FALCK RENEWABLES	0,01%
PARADOX INTERACTIVE	0,01%
FOCUS FINANCIAL PRTNRS A	0,01%
ICHIGO	0,01%
MIXI	0,01%
HOKKAIDO ELECTRIC POWER	0,01%
SALVATORE FERRAGAMO	0,01%
SAN-A CO	0,01%
BOMBARDIER B	0,01%
AUSTEVOLL SEAFOOD	0,01%
GUNGHO ONLINE ENTMT	0,01%
INTERSHOP HOLDING INH	0,01%
MAGNOLIA OIL & GAS A	0,01%
VALORA HOLDING	0,01%
JUST GROUP	0,01%
DRAEGERWERK VORZUG	0,01%
FERREXPO	0,01%
CORVEL CORP	0,01%
BANCFIRST CORP	0,01%
INSEEGO CORP	0,01%
ORION ENGINEERED CARBONS	0,01%
CLEARWAY ENERGY A	0,01%
MEG ENERGY CORP	0,01%
AAR CORP	0,01%
ENLINK MIDSTREAM LLC	0,01%
STRATEC	0,01%
CAFE DE CORAL HOLDINGS	0,01%
FIVERR INTERNATIONAL	0,01%
CREATE RESTAURANTS HLDGS	0,01%
VETROPACK HOLDING INH	0,01%
CORTEXYME	0,01%
PER AARSLEFF HOLDING B	0,01%
PENNANT GROUP	0,01%
TRONOX A	0,01%
CROMWELL EUROPEAN REIT	0,01%
VIPER ENERGY PARTNERS	0,01%
ASKUL CORP	0,01%
JAPAN PETROLEUM EXPL	0,01%
TRANSCONTINENTAL A	0,01%
AEON DELIGHT	0,01%
