Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"MO","ALTRIA GROUP INC","Basis-consumentengoederen","Aandelen","81.944.566,11","0,18","81.944.566,11","1.517.211,00","54,01","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PYPL","PAYPAL HOLDINGS INC","IT","Aandelen","81.540.893,70","0,18","81.540.893,70","920.430,00","88,59","Verenigde Staten","NASDAQ","USD"
"SCHW","CHARLES SCHWAB CORP","Financiële waarden","Aandelen","80.647.242,99","0,18","80.647.242,99","1.194.951,00","67,49","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BATS","BRITISH AMERICAN TOBACCO PLC","Basis-consumentengoederen","Aandelen","80.119.604,57","0,18","80.119.604,57","1.785.768,00","44,87","Verenigd Koninkrijk","London Stock Exchange","GBP"
"PLD","PROLOGIS REIT INC","Vastgoed","Aandelen","78.690.472,40","0,17","78.690.472,40","606.805,00","129,68","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ENB","ENBRIDGE INC","Energie","Aandelen","77.867.046,62","0,17","77.867.046,62","1.640.896,00","47,45","Canada","Toronto Stock Exchange","CAD"
"ADP","AUTOMATIC DATA PROCESSING INC","IT","Aandelen","77.521.039,12","0,17","77.521.039,12","348.754,00","222,28","Verenigde Staten","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Luxe-consumentengoederen","Aandelen","77.232.522,15","0,17","77.232.522,15","971.845,00","79,47","Verenigde Staten","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Luxe-consumentengoederen","Aandelen","77.014.763,00","0,17","77.014.763,00","33.100,00","2.326,73","Verenigde Staten","NASDAQ","USD"
"CSL","CSL LTD","Gezondheidszorg","Aandelen","76.297.394,78","0,17","76.297.394,78","394.836,00","193,24","Australië","Asx - All Markets","AUD"
"CB","CHUBB LTD","Financiële waarden","Aandelen","75.586.446,32","0,17","75.586.446,32","353.836,00","213,62","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Basis-consumentengoederen","Aandelen","74.834.168,64","0,17","74.834.168,64","1.183.336,00","63,24","Verenigde Staten","NASDAQ","USD"
"RIO","RIO TINTO PLC","Materialen","Aandelen","73.516.678,68","0,16","73.516.678,68","959.323,00","76,63","Verenigd Koninkrijk","London Stock Exchange","GBP"
"OR","LOREAL SA","Basis-consumentengoederen","Aandelen","73.353.299,41","0,16","73.353.299,41","209.315,00","350,44","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"NFLX","NETFLIX INC","Communicatie","Aandelen","72.786.394,19","0,16","72.786.394,19","366.479,00","198,61","Verenigde Staten","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","IT","Aandelen","72.486.017,10","0,16","72.486.017,10","434.178,00","166,95","Verenigde Staten","NASDAQ","USD"
"DUK","DUKE ENERGY CORP","Nutsbedrijven","Aandelen","71.606.527,06","0,16","71.606.527,06","637.409,00","112,34","Verenigde Staten","New York Stock Exchange Inc.","USD"
